"label","title","year","author","doi"
"retracted","Research on pre-competition emotion recognition of student athletes based on improved machine learning","2020","Chunfeng Guo","10.3233/JIFS-189047"
"retracted","Targeting Neural-Restrictive Silencer Factor Sensitizes Tumor Cells to Antibody-Based Cancer Immunotherapy In Vitro via Multiple Mechanisms","2010","Martin V Kolev;Marieta M Ruseva;B Paul Morgan;Rossen M Donev","10.4049/jimmunol.1000045"
"retracted","Training for police staff in recognizing and responding to traumatic brain injury","2023","Huw Williams;Hope Kent","10.1080/02699052.2023.2194723"
"retracted","Effect of potassium fertilizer on fluoride species and soil pH in fluoride-contaminate soil","2011","Dong Chen;Wen Chen","10.1109/icbbe.2011.5781406"
"retracted","Bluetooth Sensor Network Communication","2009","You Ke;Liu Rui Qiang;Gao Run Quan","10.1109/IIS.2009.113"
"retracted","Letter to the Editor: Protective Role of Skeletal Muscle Mass Against Progression From Metabolically Healthy to Unhealthy Phenotype","2018","Jean-Christophe Lagace;Dominic Tremblay;Jasmine Paquin;Alexis Marcotte-Chenard;Eleonor Riesco;Isabelle J Dionne","10.1210/jc.2018-02306"
"retracted","MicroRNA‑454 inhibits the malignant biological behaviours of gastric cancer cells by directly targeting mitogen‑activated protein kinase 1","2017","Xiaodong Wang;Baichun Liu;Fuxing Wen;Ying Song","10.3892/or.2017.6171"
"retracted","BMP2-Smad-Mediated SH-SY5Y Neuroblastoma Cell Proliferation and Neurite Outgrowth Are Regulated Through Dynamin-Dependent Endocytosis","2014","Xiangshan Yang;Shunzeng Lv;Daotang Li;Wenyuan Lv;Kaixi Fan;Lijun Sheng;Ranran Shi;Jing Zhang;Man Feng;Zhongfa Xu","10.1007/s12035-014-8896-1"
"retracted","Exopolysaccharide-producing bacterial cultures of Bacillus cereus and Pseudomonas aeruginosa in soil augment water retention and maize growth","2024","Mohammad Naseem;Arshad Nawaz Chaudhry;Ghulam Jilani;Tajwar Alam;Farah Naz;Riaz Ullah;Muhammad Zahoor;Shah Zaman; Sohail","10.1016/j.heliyon.2024.e26104"
"retracted","Optimization on the solubilization of thickened waste activated sludge using uniform design method","2010","Yong-Zhi Chi;Min Ji;Yu-You Li;Xue-Ning Fei;Hong-Ying Yuan;Shao-Po Wang;Jian-Xing Li","10.1109/ESIAT.2010.5568569"
"retracted","Artificial intelligence for a bio-sensored detection of tuberculosis","2021","S Tamilselvi;N M Saravana Kumar;S Lavanya;J Bindhu;N Kaviyavarshini","10.1007/s13721-021-00284-9"
"retracted","Molecular mechanisms of MCM3AP-AS1 targeted the regulation of miR-708-5p on cell proliferation and apoptosis in gastric cancer cells","2020","H Wang;T Xu;L Wu;HL Xu;RM Liu","10.26355/eurrev_202003_20512"
"retracted","Research on Blended Learning Evaluation Method of Overseas Chinese Education in the Post-epidemic Era","2022","Wenxia Jiang;Qingna Lin;Wei Qin","10.1145/3542926"
"retracted","A study on connection of simulating public-private key pairs and SCSI disks","2014","Liu Hailong","10.1109/WARTIA.2014.6976397"
"retracted","Distribution characteristics of inhalable particulate pollutants and their effects on cardiopulmonary respiratory system of outdoor football players in a smart healthcare system","2024","Zhongqin Liu;Zhiyun Tang;Chaoping Zhang","10.1007/s00500-023-09589-5"
"retracted","Parametric study on a convective flow in a thermal storage using IBM/thermal lattice Boltzmann flux solver","2022","Emad Hasani Malekshah;Hikmet S Aybar;Mohamed Bechir Ben Hamida;Raad Z Homod","10.1016/j.enganabound.2022.12.013"
"retracted","Modeling and Analysis of Football Players’ Specific Physical Ability Based on Training Evaluation Index","2021","Yuanhua Li;Shishan Zeng","10.1155/2021/1446971"
"retracted","Interdisciplinary Management of an Adult Bilateral Cleft Lip and Palate Patient with Excessive Incisor Display - A Case Report","2019","Ashish Prasad;Om Prakash Kharbanda","10.5152/TurkJOrthod.2019.18054"
"retracted","Modeling on Long term land use change detection Analysis of Kabul River Basin, Afghanistan by using geospatial techniques","2020","Elyas Khairandish;Surendra Kumar Mishra;Anil Kumar Lohani","10.1007/s40808-020-00823-9"
"retracted","Research on the Path of the TMT System Integration","2011","Shide Zhao","10.1109/ICEBEG.2011.5882665"
"retracted","Modeling, Real-Time Estimation, and Identification of UWB Indoor Wireless Channels","2013","Mohammed M Olama;Seddik M Djouadi;Yanyan Li;Aly Fathy","10.1155/2013/467670"
"retracted","A Novel Attention-Based Lightweight Network for Multiscale Object Detection in Underwater Images","2022","Jinkang Wang;Xiaohui He;Faming Shao;Guanlin Lu;Qunyan Jiang;Ruizhe Hu;Jinxin Li","10.1155/2022/2582687"
"retracted","HS3ST1 Promotes Non-Small-Cell Lung Cancer Progression by Targeting the SPOP/FADD/NF-κB Pathway","2022","Xianxiu Ji;Kebin Cheng;Caixia Gao;Huikang Xie;Ren Zhu;Jie Luo","10.1155/2022/5509346"
"retracted","Global incidence and mortality of childhood leukemia and its relationship with the Human Development Index","2024","Abdollah Mohammadian-Hafshejani;Irina M Farber;Soleiman Kheiri","10.1371/journal.pone.0304354"
"retracted","Landscape Creation of Children’s Outdoor Activity Space in Urban Residential Areas Based on Child Psychology Analysis","2022","Xueqian He;Jestin Nordin","10.1155/2022/9011311"
"retracted","A simple rhodamine-based dual signalling reversible molecular switch for recognition of Al(iii) with promising applications for advanced logic operations – ‘OR’, ‘Keypad Lock’ & ‘INHIBIT’ logic function and cell-imaging studies","2014","Ali Mahammad;Tarun Mistri;Rabiul Alam;Rahul Bhowmick;Sushil Kumar Mandal;Malay Dolai;Anisur Rahman Khuda-Bukhsh","10.1039/C3AN02255B"
"retracted","Identification of Prognosis Biomarkers of Prostatic Cancer in a Cohort of 498 Patients from TCGA","2019","Zhiqiang Chen;Haiyi Hu","10.1089/cmb.2019.0224"
"retracted","Photocatalytic CO2 transformation into fuel: A review on advances in photocatalyst and photoreactor","2014","Sreejon Das;Wan Mohd Ashri Wan Daud","10.1016/j.rser.2014.07.046"
"retracted","Effect of a mobile phone-assisted postpartum family planning service on the use of long-acting reversible contraception: a randomised controlled trial","2020","Omar M Shaaban;Treza Saber;Entisar Youness;Manal Farouk;Ahmed Mohamed Abbas","10.1080/13625187.2020.1764528"
"retracted","A survey of jundishapur medical sciences university students viewpoints in Ahvaz considering the effective components in the marketing process of libraries based on the principles of marketing mix (9P's model)","2018","Z Sabaghinejad;F Hosseinizadeh;F Azadeh;A Farajpahlou","10.4314/jfas.v10i6s.156"
"retracted","Quercetin supports cell viability and inhibits apoptosis in cardiocytes by down-regulating miR-199a","2019","Gongliang Guo;Licheng Gong;Liqun Sun;Haiming Xu","10.1080/21691401.2019.1640711"
"retracted","Naturally occurring soil salinity does not reduce N-transforming enzymes or organisms","2017","Heather L Dose;Thomas M DeSutter;Francis X M Casey;Robert Brueggeman","10.1139/cjss-2016-0089"
"retracted","A New Neutrosophic Negative Binomial Distribution: Properties and Applications","2021","Rehan Ahmad Khan Sherwani;Sadia Iqbal;Shumaila Abbas;Muhammad Aslam;Ali Hussein AL Marshadi","10.1155/2021/2788265"
"retracted","Incidence and early disease course of ulcerative colitis in Western Hungary between 2002 and 2006","2010","L Lakatos;G David;T Pandur;Z Erdelyi;G Mester;M Balogh;I Szipocs;C Molnar;E Komaromi;L S Kiss;P L Lakatos","10.1016/S1873-9946(10)00006-1"
"retracted","Relationship of Political Thought and Political History (Discussions in Domestic State Studies Literature of the Second Half of the XIX - Beginning of XX Centuries)","2015","Evgeny Nikolaevich (Евгений Николаевич) Moschelkov (Мощелков)","Unavailable"
"retracted","‘Negativicoccus massiliensis’, a new species identified from human stool from an obese patient after bariatric surgery","2016","Ahmadou Hamidou Togo;Saber Khelaifia;René Valéro;Frederique Cadoret;Didier A Raoult;Matthieu Million","10.1016/j.nmni.2016.05.018"
"retracted","Simulation of coastal beach stability and coastal running based on embedded image system","2021","Ziyan Li","10.1007/s12517-021-07247-4"
"retracted","A new rule for femoral nerve blocks","2005","Sebastian Schulz-Stübner;Angela Henszel;J Steven Hata","10.1016/j.rapm.2005.05.009"
"retracted","Epistemic norm correspondence and the belief–assertion parallel","2018","Mona Simon","10.1093/analys/any048"
"retracted","Economic development of the Kyrgyz republic: An input-output analysis across three development phases","2024","Almaz Kadyraliev;Bakhtyiar Bakas uulu;Meerim Makeeva;Bermer Osmonova;Angela Mottaeva","10.1051/bioconf/202413804024"
"retracted","Artemisia Extracts and Artemisinin-Based Antimalarials for COVID-19 Management: Could These Be Effective Antivirals for COVID-19 Treatment?","2022","Pawan K Agrawal;Chandan Agrawal;Gerald Blunden","10.3390/molecules27123828"
"retracted","Cotraining Algorithm Based on Weighted Principal Component Analysis and Improved Density Peak Clustering","2022","Tao Wang","10.1155/2022/8353697"
"retracted","Predicting Decreased Activities of Daily Living in Patients with Moyamoya Disease after Revascularization: Development and Assessment of a New Predictive Nomogram","2021","Yani Zhao;Dongliang Yang;Gang Li;Peng Zhao;Xiaorong Luan;Haiyan Li","10.1155/2021/6624245"
"retracted","A curve reconstruction method to high-speed cam on printing press","2010","Fang Rui-Ming;Chen Hong","10.1109/ICCASM.2010.5620809"
"retracted","Association of aldosterone synthase (CYP11B2) gene polymorphism with IgA nephropathy risk and progression of IgA nephropathy.","2014","Wei qiang Zhong;Zhong liang Huang;Yong Wu;Zong pei Jiang;Tian Biao Zhou","10.1177/1470320314524011"
"retracted","Safety limitations of fatty liver transplantation can be extended to 40%: Experience of a single centre in China","2016","Zhiyong Yu;Zhongquan Sun;Songfeng Yu;Lin Zhang;Xiaowen Feng;Mangli Zhang;Xiao Xu;Jian Wu;Jun Yu;Min Zhang;Yan Shen;Weilin Wang;Haiyang Xie;Lin Zhou;Zhenhua Tu;Sheng Yan;Shu Sen Zheng","10.1111/liv.13244"
"retracted","A Novel Variable Pseudonym Scheme for Preserving Privacy User Location in 5G Networks","2022","Mamoon M. Saeed;Rashid A. Saeed;Rania A. Mokhtar;Hesham Alhumyani;Elmustafa Sayed Ali","10.1155/2022/7487600"
"retracted","Enhanced Sintering Performance of Ceramic Composites Fabricated by Powder Metallurgy","2023","K D Bopanna;C S L Vijaya Durga;Harjeet Singh;Nisha Gupta;A Al-Saady Fouad;Ginni Nijhawan","10.1051/e3sconf/202343001126"
"retracted","Analysis of risk factors related to the re-fracture of adjacent vertebral body after PKP","2021","Shen Yun Fang;Ji Lin Dai;Ji Kang Min;Wei Li Zhang","10.1186/s40001-021-00592-w"
"retracted","Clinical and functional impairment after nonoperative treatment of distal biceps ruptures","2018","Christopher C Schmidt;Brandon T Brown;Daniel L Schmidt;Michael P Smolinski;Thomas Kotsonis;Kenneth J Faber;Kraig S Graham;Tyler J Madonna;Patrick J Smolinski;Mark Carl Miller","10.1016/j.jse.2018.09.017"
"retracted","Probe into the Enterprise Industrial Injury Insurance and Accident Prevention Mechanism","2011","Liang Kaiwu;Cai Zhiyong","10.1109/ICEMMS.2011.6015685"
"retracted","The construction and realization of the intelligent NIPS based on the cloud security","2009","Tiejun Jia;Xiaogang Wang","10.1109/ICISE.2009.1192"
"retracted","Can consumption of anthocyanin-rich tomatoes reduce the risk of cardiovascular disease?","2014","Sebastian Achterfeldt;Cathie Martin;Paul Kroon","10.1096/fasebj.28.1_supplement.829.18"
"retracted","A new eye-safe lidar design for studying atmospheric aerosol distributions","2009","Nianwen Cao;Xiaobing Zhou;Shusun Li;Zhongrong Chen","10.1063/1.3103647"
"retracted","Corporates governance: a complementary model for multi frameworks and tools","2018","Fekry Fouad","unavailable"
"retracted","Real-time eye detection in multimedia environment","2017","Zepeng Wang;Luming Zhang","10.1007/s11042-017-5268-7"
"retracted","Study on Relationship between Beijing's Living Water Demand and Urbanization with Simple Partial Least-Squares Regression","2009","Zhihong Zou;Yi Yun;Wei Zhang","10.1109/SSME.2009.140"
"retracted","TiO2 nanoparticles’ effects on properties of concrete using ground granulated blast furnace slag as binder","2011","Ali Nazari;Shadi Riahi","10.1007/s11431-011-4421-1"
"retracted","Using Artificial Intelligence Technology to Solve the Electronic Health Service by Processing the Online Case Information","2021","Guoxiang Xu;Hao Jin","10.1155/2021/9637018"
"retracted","Internet of things in the management of chronic diseases during the COVID-19 pandemic: A systematic review","2022","Ahmadreza Shamsabadi;Zahra Pashaei;Amirali Karimi;Pegah Mirzapour;Kowsar Qaderi;Mahmoud Marhamati;Alireza Barzegary;Amirata Fakhfouri;Esmaeil Mehraeen;SeyedAhmad SeyedAlinaghi;Omid Dadras","10.1002/hsr2.557"
"retracted","Sevoflurane-emergence Agitation: Effect of Supplementary Low-dose Oral Ketamine Premedication in Preschool Children Undergoing DentalSDurgery","2010","Ahmed M Khattab;Zeinab A El-Seify;Ashraf Shaaban;Dobrila Radojevic;Ivanka Jankovic","10.1097/EJA.0b013e328335b2ec"
"retracted","Deep Learning-Based Leaf Region Segmentation Using High-Resolution Super HAD CCD and ISOCELL GW1 Sensors","2023","Srinivas Talasila;Kirti Rawal;Gaurav Sethi","10.1155/2023/1085735"
"retracted","Ultrasonic Image Restoration Algorithm for Prevention of Nervous Disorders during the Recovery Period of Patients Receiving Sevoflurane Anesthesia","2021","Gong Chen;Jinquan Yang;Qin Chen;Damin Liu","10.1155/2021/6124346"
"retracted","Fuel-stop fault diagnosis for diesel engine based on vibration intensity","2013","Jin Song Zhao;Hong Wen Ma;Xing Hui Zhang;Ming Zheng Liu","10.1109/QR2MSE.2013.6625947"
"retracted","Preventive Effects of Mandarin Fruit Peel Hydroethanolic Extract, Hesperidin, and Quercetin on Acetaminophen-Induced Hepatonephrotoxicity in Wistar Rats","2022","Doaa Nor Eldin;Hanaa I. Fahim;Heba Y. Ahmed;Mohamed A. Abdelgawad;Mohammed A. S. Abourehab;Osama M. Ahmed","10.1155/2022/7065845"
"retracted","Aquachlorobis(1,10-phenanthroline) Cobalt(II) Chloride Thiourea Solvate","2006","Hua Zhong;Xi Rui Zeng;Yin Qiu Liu;Qiu Yan Luo","10.1107/S1600536806041122"
"retracted","The effect of primary closure versus secondary closure techniques on postoperative wound pain in patients undergoing mandibular surgery: A meta-analysis","2024","Lina Zhang;Lei Li","10.1111/iwj.14753"
"retracted","Silencing of B cell receptor signals in human naive B cells.","2002","Niklas Feldhahn;Ines Schwering;Sanggyu Lee;Maria Wartenberg;Florian Klein;Hui Wang;Guolin Zhou;San Ming Wang;Janet D Rowley;Jürgen Hescheler;Martin Krönke;Klaus Rajewsky;Ralf Küppers;Markus Müschen","10.1084/jem.20020881"
"retracted","Application of Functional Nanomaterials in Aesthetic Art and Industrial Design Concept","2022","Da Gong;Zhenghang Li;Yuyan Song;Jiaheng Han","10.1155/2022/9334608"
"retracted","Experimental Model of Bone Response to Collagenized Xenografts of Porcine Origin (Osteobiol mp3): A Radiological and Histomorphometric Study","2011","Jose Luis Calvo-Guirado;Maria Piedad Ramírez Fernández;Bruno Negri;Rafael Arcesio Delgado Ruiz;José Eduardo Maté Sánchez de-Val;Gerardo Gómez-Moreno","10.1111/j.1708-8208.2011.00337.x"
"retracted","Crime identification using FP-growth and multi objective particle swarm optimization","2017","Shivangee Agrawal;Vikas Sejwar","10.1109/ICOEI.2017.8300799"
"retracted","The effect of ulinastatin pre-treatment on vecuronium-induced neuromuscular block in patients with hepatic cirrhosis","2002","Yuhji Saitoh;Koh Kaneda;Masahiro Murakawa","10.1046/j.0003-2409.2001.02468.x"
"retracted","Epoxy Resins Toughened with Surface Modified Epoxidized Natural Rubber Fibers by One-Step Electrospinning","2017","Joo Ran Kim;Jung J Kim","10.3390/ma10050464"
"retracted","Decongestants and antihistamines for acute otitis media in children","2002","Cheryl A Flynn;Glenn Griffin;Fred Tudiver","10.1002/14651858.CD001727"
"retracted","Long Noncoding RNA OIP5-AS1 Promotes the Progression of Liver Hepatocellular Carcinoma via Regulating the hsa-miR-26a-3p/EPHA2 Axis","2020","Yu Shui Ma;Kai Jian Chu;Chang- Chun Ling;Ting Miao Wu;Xu Chao Zhu;Ji Bin Liu;Fei Yu;Zhi Zhen Li;Jing Han Wang;Qing Xiang Gao;Bin Yi;Hui Min Wang;Li Peng Gu;Liu Li;Lin Lin Tian;Yi Shi;Xiao Qing Jiang;Da Fu;Xiong Wen Zheng","10.1016/j.omtn.2020.05.032"
"retracted","The Outcome of Prolonged Postoperative Antibiotics on Wound Healing in Orthognathic Surgery: A Meta-Analysis","2023","Ying Lu;Jian Li","10.1111/iwj.14104"
"retracted","Sports Auxiliary Training Based on Computer Digital 3D Video Image Processing","2022","Saisai Xu","10.1155/2022/2105790"
"retracted","Tibial Nerve Stimulation to Inhibit the Micturition Reflex by an Implantable Wireless Driver Microstimulator in Cats","2016","Xing Li;Li-Min Liao;Guo-Qing Chen;Zhao-Xia Wang;Tian-Ji Lu;Han Deng;Gerald-E Loeb","10.1097/MD.0000000000004537"
"retracted","Vitexin attenuates epithelial ovarian cancer cell viability and motility in vitro and carcinogenesis in vivo via p38 and ERK1/2 pathways related VEGFA","2020","Shuzhen Zhao;Xinlei Guan;Ruijie Hou;Xueying Zhang;Fang Guo;Zhifang Zhang;Caihong Hua","10.21037/atm-20-5586"
"retracted","Network teaching resources construction and practice discovery based on teacher-guidance & students-centered","2010","Huo Hongying;Deng Guoli","10.1109/EDT.2010.5496388"
"retracted","On Adjacency Metric Dimension of Some Families of Graph","2022","Ali N A Koam;Ali Ahmad;Muhammad Azeem;Adnan Khalil;Muhammad Faisal Nadeem","10.1155/2022/6906316"
"retracted","Optimization of chamical bath deposited CdSSe thin films","2023","M A Jafarov;E F Nasirov;V Mammadov;S A Jahangirova","10.15251/CL.2023.209.657"
"retracted","Old yellow enzyme protects the actin cytoskeleton from oxidative stress","2004","Brian K Haarer;David C Amberg","10.1091/mbc.E04-06-0445"
"retracted","Phyto-cover of landfill sites; A sustainable alternative to conventional clay cover","2011","Hossein Ghadiri;Pia Benaud;Margaret Greenway;Sam Yuen;Grant Zhu","10.1109/icbbe.2011.5781491"
"retracted","Optimization of flight sequencing on airport based on gene expression algorithm","2010","Weijun Pan;Lin Zhang;Tong Chen","10.1109/ICCSIT.2010.5564926"
"retracted","Reciprocal negative feedback loop between EZH2 and miR-101-1 contributes to miR-101 deregulation in hepatocellular carcinoma","2015","Da Huang;Xiaobei Wang;Chunbo Zhuang;Wuhe Shi;Mu Liu;Qiming Tu;Detai Zhang;Lihua Hu","10.3892/or.2015.4467"
"retracted","Efficacy, Safety, and Prognosis of Sequential Therapy with Tamoxifen and Letrozole versus Letrozole Monotherapy for Breast Carcinoma","2022","Xinli Lu;Cheng Qian","10.1155/2022/1979254"
"retracted","5G Edge Computing Access Node Selection Algorithm Based on Energy Efficiency and Delay","2022","Wenjian Hu;Siyan Guo;Liping He;Lin Wang;Yubao Yuan","10.1155/2022/4491961"
"retracted","Neuromodulation of internal emergent representations for sequential tasks","2017","Dongshu Wang;Junhao Wang;Lei Liu","10.1007/s10462-017-9585-z"
"retracted","DC Motor Simulation using LTSpice","2020","J Linggarjati","10.1088/1755-1315/426/1/012137"
"retracted","Statin blocks Rho/Rho-kinase signalling and disrupts the actin cytoskeleton: relationship to enhancement of LPS-mediated nitric oxide synthesis in vascular smooth muscle cells","2004","Tetsuya Kato;Hiroko Hashikabe;Chigusa Iwata;Kazumi Akimoto;Yoshiyuki Hattori","10.1016/j.bbadis.2004.04.006"
"retracted","Perspectives on trace chemical safety and chemophobia: risk communication and risk management","2019","Byung Mu Lee;Seok Kwon;Yun Mi Cho;Kyu Bong Kim;Kyungwon Seo;Choong Sik Min;Kyongeun Kim","10.1080/15287394.2019.1567972"
"retracted","Estimation of uncertainty in flatness Minimum Zone verification according to new GPS standard system","2010","Liangrong Zhu","10.1109/ICCASM.2010.5620293"
"retracted","Optimal design of garments for high-temperature operations based on the finite difference method","2023","Jiang Hao Li;Hao Xu","10.1007/s10878-023-01077-8"
"retracted","On the application of traditional Chinese cultural symbols of landscape architecture in modern design","2009","Chen Qi","10.1109/CAIDCD.2009.5375059"
"retracted","Role of aminolevulinic acid synthase 1 in doxorubicin-induced oxidative stress to the ardiomyocyte","2020","Zuoyan Wang;Junyi Gao;Haobo Teng;Jianjun Peng","10.1007/s00210-019-01799-9"
"retracted","Accessibility of Urban Nonprofit Public Nursery Services Based on Big Data","2022","Yi Li;Xiaoli Deng;Shan Liao;Xiaoli Liang;Hongyan Wang;Hua Fang;Zhen Ai;Pei Chen;Xiangeng Zhang","10.1155/2022/9775524"
"retracted","Stabilizability of Infinite-Dimensional Systems by Finite-Dimensional Controls","2018","Jean Pierre Raymond","10.1515/cmam-2018-0031"
"retracted","Sevoflurane improves nerve regeneration and repair of neurological deficit in brain damage rats via microRNA-490-5p/CDK1 axis","2021","Lingling Ding;Jiaqi Ning;Qi Wang;Bin Lu;Hai Ke","10.1016/j.lfs.2021.119111"
"retracted","STEALTH matters: a novel paradigm of durable primate allograft tolerance","2001","Judith M Thomas;William J Hubbard;Steven K Sooudi;Francis T Thomas","10.1034/j.1600-065x.2001.1830118.x"
"retracted","Two new Yb(III)-based coordination polymers: structural characterization and treatment effect on femur fracture nonunion combined with PRP and n-HA/PA66","2020","Yong Huang;Xiaoyu Wang;Jingzhe Wang;Dawei Wang;Zhenggang Bi","10.1080/24701556.2020.1762219"
"retracted","Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial","2003","Naoyuki Nakao;Ashio Yoshimura;Hiroyuki Morita;Masyuki Takeda;Tsuguo Kayano;Terukuni Ideura","10.1016/S0140-6736(03)12229-5"
"retracted","Analysis and optimization of the slide block of YQK-1250 hydraulic machine based on ANSYS","2011","Xiaoming Zuo;Liqiang Zhang;Pei Li","unavailable"
